ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
1,0.0,0,position_label_only_no_defensive_innings,0,Jaydyn Goodwin,jaydyngoodwin,RF,1,2026,Texas Volts
7,7.0,21,confirmed_clean_team_games_only,16,Jenna Laird,jennalaird,2B,8,2026,Carolina Blaze
5,0.0,0,position_label_only_no_defensive_innings,3,Jenna Laird,jennalaird,LF,5,2026,Carolina Blaze
1,0.0,0,position_label_only_no_defensive_innings,1,Jenna Laird,jennalaird,SS,1,2026,Carolina Blaze
11,0.0,0,position_label_only_no_defensive_innings,23,Jessi Warren,jessiwarren,3B,11,2026,Oklahoma City Spark
1,0.0,0,position_label_only_no_defensive_innings,4,Jessica Clements,jessicaclements,CF,1,2026,Chicago Bandits
9,0.0,0,position_label_only_no_defensive_innings,19,Jessica Clements,jessicaclements,LF,9,2026,Chicago Bandits
3,0.0,0,position_label_only_no_defensive_innings,4,Jessica Clements,jessicaclements,RF,3,2026,Chicago Bandits
9,0.0,0,position_label_only_no_defensive_innings,10,Jocelyn Erickson,jocelynerickson,1B,9,2026,Chicago Bandits
8,0.0,0,position_label_only_no_defensive_innings,0,Jocelyn Erickson,jocelynerickson,C,8,2026,Chicago Bandits
6,0.0,0,position_label_only_no_defensive_innings,4,Jordan Woolery,jordanwoolery,1B,6,2026,Utah Talons
10,0.0,0,position_label_only_no_defensive_innings,16,Jordan Woolery,jordanwoolery,3B,10,2026,Utah Talons
4,0.0,0,position_label_only_no_defensive_innings,0,Jordyn Rudd-Lee,jordynruddlee,C,4,2026,Texas Volts
1,0.0,0,position_label_only_no_defensive_innings,1,KK Madrey,kkmadrey,3B,1,2026,Oklahoma City Spark
3,0.0,0,position_label_only_no_defensive_innings,5,KK Madrey,kkmadrey,RF,3,2026,Oklahoma City Spark
7,0.0,0,position_label_only_no_defensive_innings,6,Kailey Wycoff,kaileywycoff,1B,7,2026,Utah Talons
1,0.0,0,position_label_only_no_defensive_innings,0,Kailey Wycoff,kaileywycoff,RF,1,2026,Utah Talons
1,0.0,0,position_label_only_no_defensive_innings,1,Karli Spaid,karlispaid,RF,1,2026,Carolina Blaze
5,0.0,0,position_label_only_no_defensive_innings,2,Kayla Kowalik,kaylakowalik,C,5,2026,Carolina Blaze
2,7.0,21,confirmed_clean_team_games_only,11,Keirstin Roose,keirstinroose,2B,3,2026,Oklahoma City Spark
3,0.0,0,position_label_only_no_defensive_innings,1,Kelly Torres,kellytorres,C,3,2026,Portland Cascade
14,0.0,0,position_label_only_no_defensive_innings,54,Kendra Falby,kendrafalby,CF,14,2026,Portland Cascade
14,0.0,0,position_label_only_no_defensive_innings,30,Kenleigh Cahalan,kenleighcahalan,SS,14,2026,Portland Cascade
12,0.0,0,position_label_only_no_defensive_innings,19,Kennedy Powell,kennedypowell,3B,12,2026,Portland Cascade
5,0.0,0,position_label_only_no_defensive_innings,16,Korbe Otis,korbeotis,LF,5,2026,Portland Cascade
9,0.0,0,position_label_only_no_defensive_innings,30,Korbe Otis,korbeotis,RF,9,2026,Portland Cascade
7,0.0,0,position_label_only_no_defensive_innings,15,Leighann Goode,leighanngoode,2B,7,2026,Texas Volts
2,0.0,0,position_label_only_no_defensive_innings,11,Leighann Goode,leighanngoode,3B,2,2026,Texas Volts
1,7.0,21,confirmed_clean_team_games_only,6,Leighann Goode,leighanngoode,SS,2,2026,Texas Volts
2,0.0,0,position_label_only_no_defensive_innings,2,Mac Barbara,macbarbara,1B,2,2026,Chicago Bandits
1,0.0,0,position_label_only_no_defensive_innings,0,Mac Barbara,macbarbara,LF,1,2026,Chicago Bandits
10,0.0,0,position_label_only_no_defensive_innings,28,Maddie Moore,maddiemoore,2B,10,2026,Utah Talons
